x,y
2015-09-08, 4.00
2015-09-02, 3.30
2015-08-25, 3.20
2015-08-18, 3.10
2015-08-04, 3.00
2015-07-28, 2.50
2015-07-17, 2.40
2015-07-09, 2.34
2015-07-09, 0.127
2015-07-09, 0.1040
2015-07-04, 2.33
2015-07-03, 0.126
2015-07-01, 2.32
2015-06-23, 2.31
2015-06-22, 0.125
2015-06-18, 0.1039
2015-06-13, 2.30
2015-06-01, 2.21
2015-05-31, 2.20
2015-05-24, 2.10
2015-05-22, 0.124
2015-05-15, 2.02
2015-05-13, 0.123
2015-05-07, 2.01
2015-05-04, 2.00
2015-04-20, 1.81
2015-04-14, 1.70
2015-04-06, 1.64
2015-03-31, 1.63
2015-03-31, 0.122
2015-03-23, 1.62
2015-03-23, 0.121
2015-03-23, 0.1038
2015-03-20, 1.61
2015-03-19, 1.60
2015-03-11, 0.1037
2015-03-09, 1.51
2015-03-06, 1.50
2015-03-02, 1.43
2015-02-28, 1.42
2015-02-26, 1.41
2015-02-20, 1.30
2015-02-10, 1.20
2015-02-06, 0.120
2015-02-03, 1.10
2015-01-26, 0.1036
2015-01-24, 1.04
2015-01-20, 1.03
2015-01-16, 1.02
2015-01-14, 1.01
2014-09-24, 0.1114
2014-05-01, 0.1113
2014-03-11, 0.1112
2014-01-29, 0.1111
2013-12-31, 0.1110
2013-11-20, 0.119
2013-10-30, 0.118
2013-08-21, 0.117
2013-08-21, 0.116
2013-08-06, 0.115
2013-07-12, 0.114
2013-06-26, 0.113
2013-05-13, 0.112
2013-04-19, 0.111
2013-03-28, 0.110
2014-12-22, 0.1035
2014-12-17, 0.1034
2014-10-20, 0.1033
2014-09-16, 0.1032
2014-08-19, 0.1031
2014-07-31, 0.1030
2014-06-05, 0.1029
2014-05-01, 0.1028
2014-05-01, 0.1027
2014-02-18, 0.1026
2014-01-23, 0.1025
2013-12-18, 0.1024
2013-12-12, 0.1023
2013-11-12, 0.1022
2013-10-18, 0.1021
2013-09-30, 0.1020
2013-09-24, 0.1019
2013-09-04, 0.1018
2013-08-21, 0.1017
2013-08-16, 0.1016
2013-07-25, 0.1015
2013-07-25, 0.1014
2013-07-09, 0.1013
2013-06-18, 0.1012
2013-06-13, 0.1011
2013-06-04, 0.1010
2013-05-30, 0.109
2013-05-24, 0.108
2013-05-17, 0.107
2013-05-14, 0.106
2013-04-23, 0.105
2013-04-11, 0.104
2013-04-03, 0.103
2013-03-28, 0.102
2013-03-21, 0.101
2013-03-11, 0.100
2013-03-06, 0.912
2013-03-01, 0.911
2013-02-19, 0.910
2013-02-07, 0.99
2013-01-24, 0.98
2013-01-18, 0.97
2013-01-11, 0.96
2012-12-30, 0.95
2012-12-21, 0.94
2012-10-24, 0.93
2012-09-17, 0.92
2012-08-28, 0.91
2012-07-20, 0.90
2013-06-13, 0.825
2013-06-04, 0.824
2013-04-09, 0.823
2013-03-07, 0.822
2013-02-25, 0.821
2013-02-15, 0.820
2013-02-06, 0.819
2013-01-18, 0.818
2013-01-09, 0.817
2012-12-13, 0.816
2012-11-26, 0.815
2012-10-25, 0.814
2012-10-25, 0.813
2012-10-12, 0.812
2012-09-27, 0.811
2012-09-25, 0.810
2012-09-11, 0.89
2012-08-22, 0.88
2012-08-15, 0.87
2012-08-07, 0.86
