engine,x,y
node,2015-09-08, 4.00
node,2015-09-02, 3.30
node,2015-08-25, 3.20
node,2015-08-18, 3.10
node,2015-08-04, 3.00
node,2015-07-28, 2.50
node,2015-07-17, 2.40
node,2015-07-09, 2.34
node,2015-07-09, 0.127
node,2015-07-09, 0.1040
node,2015-07-04, 2.33
node,2015-07-03, 0.126
node,2015-07-01, 2.32
node,2015-06-23, 2.31
node,2015-06-22, 0.125
node,2015-06-18, 0.1039
node,2015-06-13, 2.30
node,2015-06-01, 2.21
node,2015-05-31, 2.20
node,2015-05-24, 2.10
node,2015-05-22, 0.124
node,2015-05-15, 2.02
node,2015-05-13, 0.123
node,2015-05-07, 2.01
node,2015-05-04, 2.00
node,2015-04-20, 1.81
node,2015-04-14, 1.70
node,2015-04-06, 1.64
node,2015-03-31, 1.63
node,2015-03-31, 0.122
node,2015-03-23, 1.62
node,2015-03-23, 0.121
node,2015-03-23, 0.1038
node,2015-03-20, 1.61
node,2015-03-19, 1.60
node,2015-03-11, 0.1037
node,2015-03-09, 1.51
node,2015-03-06, 1.50
node,2015-03-02, 1.43
node,2015-02-28, 1.42
node,2015-02-26, 1.41
node,2015-02-20, 1.30
node,2015-02-10, 1.20
node,2015-02-06, 0.120
node,2015-02-03, 1.10
node,2015-01-26, 0.1036
node,2015-01-24, 1.04
node,2015-01-20, 1.03
node,2015-01-16, 1.02
node,2015-01-14, 1.01
node,2014-09-24, 0.1114
node,2014-05-01, 0.1113
node,2014-03-11, 0.1112
node,2014-01-29, 0.1111
node,2013-12-31, 0.1110
node,2013-11-20, 0.119
node,2013-10-30, 0.118
node,2013-08-21, 0.117
node,2013-08-21, 0.116
node,2013-08-06, 0.115
node,2013-07-12, 0.114
node,2013-06-26, 0.113
node,2013-05-13, 0.112
node,2013-04-19, 0.111
node,2013-03-28, 0.110
node,2014-12-22, 0.1035
node,2014-12-17, 0.1034
node,2014-10-20, 0.1033
node,2014-09-16, 0.1032
node,2014-08-19, 0.1031
node,2014-07-31, 0.1030
node,2014-06-05, 0.1029
node,2014-05-01, 0.1028
node,2014-05-01, 0.1027
node,2014-02-18, 0.1026
node,2014-01-23, 0.1025
node,2013-12-18, 0.1024
node,2013-12-12, 0.1023
node,2013-11-12, 0.1022
node,2013-10-18, 0.1021
node,2013-09-30, 0.1020
node,2013-09-24, 0.1019
node,2013-09-04, 0.1018
node,2013-08-21, 0.1017
node,2013-08-16, 0.1016
node,2013-07-25, 0.1015
node,2013-07-25, 0.1014
node,2013-07-09, 0.1013
node,2013-06-18, 0.1012
node,2013-06-13, 0.1011
node,2013-06-04, 0.1010
node,2013-05-30, 0.109
node,2013-05-24, 0.108
node,2013-05-17, 0.107
node,2013-05-14, 0.106
node,2013-04-23, 0.105
node,2013-04-11, 0.104
node,2013-04-03, 0.103
node,2013-03-28, 0.102
node,2013-03-21, 0.101
node,2013-03-11, 0.100
node,2013-03-06, 0.912
node,2013-03-01, 0.911
node,2013-02-19, 0.910
node,2013-02-07, 0.99
node,2013-01-24, 0.98
node,2013-01-18, 0.97
node,2013-01-11, 0.96
node,2012-12-30, 0.95
node,2012-12-21, 0.94
node,2012-10-24, 0.93
node,2012-09-17, 0.92
node,2012-08-28, 0.91
node,2012-07-20, 0.90
node,2013-06-13, 0.825
node,2013-06-04, 0.824
node,2013-04-09, 0.823
node,2013-03-07, 0.822
node,2013-02-25, 0.821
node,2013-02-15, 0.820
node,2013-02-06, 0.819
node,2013-01-18, 0.818
node,2013-01-09, 0.817
node,2012-12-13, 0.816
node,2012-11-26, 0.815
node,2012-10-25, 0.814
node,2012-10-25, 0.813
node,2012-10-12, 0.812
node,2012-09-27, 0.811
node,2012-09-25, 0.810
node,2012-09-11, 0.89
node,2012-08-22, 0.88
node,2012-08-15, 0.87
node,2012-08-07, 0.86
node,2012-08-02, 0.85
node,2012-07-25, 0.84
node,2012-07-19, 0.83
node,2012-07-09, 0.82
node,2012-06-29, 0.81
node,2012-06-25, 0.80
node,2012-06-19, 0.712
node,2012-06-15, 0.711
node,2012-06-11, 0.710
node,2012-05-28, 0.79
node,2012-04-18, 0.78
node,2012-03-30, 0.77
node,2012-03-13, 0.76
node,2012-02-23, 0.75
node,2012-02-14, 0.74
node,2012-02-07, 0.73
node,2012-02-01, 0.72
node,2012-01-23, 0.71
node,2012-01-16, 0.70
node,2012-07-10, 0.620
node,2012-06-06, 0.619
node,2012-05-15, 0.618
node,2012-05-04, 0.617
node,2012-04-30, 0.616
node,2012-04-09, 0.615
node,2012-03-22, 0.614
node,2012-03-15, 0.613
node,2012-03-02, 0.612
node,2012-02-17, 0.611
node,2012-02-02, 0.610
node,2012-01-27, 0.69
node,2012-01-19, 0.68
node,2012-01-06, 0.67
node,2011-12-14, 0.66
node,2011-12-04, 0.65
node,2011-12-02, 0.64
node,2011-11-25, 0.63
node,2011-11-18, 0.62
node,2011-11-11, 0.61
node,2011-11-04, 0.60
node,2011-10-21, 0.510
node,2011-10-10, 0.59
node,2011-09-30, 0.58
node,2011-09-16, 0.57
node,2011-09-08, 0.56
node,2011-08-26, 0.55
node,2011-08-12, 0.54
node,2011-08-01, 0.53
node,2011-07-22, 0.52
node,2011-07-14, 0.51
node,2011-07-05, 0.50
node,2011-09-15, 0.412
node,2011-08-17, 0.411
node,2011-07-19, 0.410
node,2011-06-29, 0.49
node,2011-05-20, 0.48
node,2011-04-22, 0.47
node,2011-04-13, 0.46
node,2011-04-01, 0.45
node,2011-03-26, 0.44
node,2011-03-18, 0.43
node,2011-03-02, 0.42
node,2011-02-19, 0.41
node,2011-02-10, 0.40
node,2011-02-04, 0.38
node,2011-01-27, 0.37
node,2011-01-21, 0.36
node,2011-01-16, 0.35
node,2011-01-08, 0.34
node,2011-01-02, 0.33
node,2010-12-16, 0.32
node,2010-11-16, 0.31
node,2010-10-23, 0.30
node,2010-08-20, 0.20
node,2010-08-13, 0.1104
node,2010-08-04, 0.1103
node,2010-07-25, 0.1102
node,2010-07-16, 0.1101
node,2010-07-03, 0.1100
node,2010-06-21, 0.199
node,2010-06-11, 0.198
node,2010-05-29, 0.197
node,2010-05-21, 0.196
node,2010-05-13, 0.195
node,2010-05-06, 0.194
node,2010-04-29, 0.193
node,2010-04-23, 0.192
node,2010-04-15, 0.191
node,2010-04-09, 0.190
node,2010-03-19, 0.133
node,2010-03-12, 0.132
node,2010-03-05, 0.131
node,2010-02-22, 0.130
node,2010-02-17, 0.129
node,2010-02-09, 0.128
node,2010-02-03, 0.127
node,2010-01-20, 0.126
node,2010-01-09, 0.125
node,2009-12-31, 0.124
node,2009-12-22, 0.123
node,2009-12-19, 0.122
node,2009-12-06, 0.121
node,2009-11-28, 0.120
node,2009-11-28, 0.119
node,2009-11-17, 0.118
node,2009-11-07, 0.117
node,2009-11-03, 0.116
node,2009-10-28, 0.115
node,2009-10-09, 0.114
node,2009-09-30, 0.113
node,2009-09-24, 0.112
node,2009-09-18, 0.111
node,2009-09-11, 0.110
node,2009-09-05, 0.19
node,2009-08-27, 0.17
node,2009-08-13, 0.14
node,2009-08-01, 0.12
node,2009-07-27, 0.11
node,2009-06-30, 0.10
node,2009-06-24, 0.06
node,2009-06-18, 0.05
node,2009-06-13, 0.04
node,2009-06-11, 0.03
