engine,date,version
node,2015-09-08,400
iojs,2015-09-02,330
iojs,2015-08-25,320
iojs,2015-08-18,310
iojs,2015-08-04,300
iojs,2015-07-28,250
iojs,2015-07-17,240
iojs,2015-07-09,234
node,2015-07-09,012.7
node,2015-07-09,010.40
iojs,2015-07-04,233
node,2015-07-03,012.6
iojs,2015-07-01,232
iojs,2015-06-23,231
node,2015-06-22,012.5
node,2015-06-18,010.39
iojs,2015-06-13,230
iojs,2015-06-01,221
iojs,2015-05-31,220
iojs,2015-05-24,210
node,2015-05-22,012.4
iojs,2015-05-15,202
node,2015-05-13,012.3
iojs,2015-05-07,201
iojs,2015-05-04,200
iojs,2015-04-20,181
iojs,2015-04-14,170
iojs,2015-04-06,164
iojs,2015-03-31,163
node,2015-03-31,012.2
iojs,2015-03-23,162
node,2015-03-23,012.1
node,2015-03-23,010.38
iojs,2015-03-20,161
iojs,2015-03-19,160
node,2015-03-11,010.37
iojs,2015-03-09,151
iojs,2015-03-06,150
iojs,2015-03-02,143
iojs,2015-02-28,142
iojs,2015-02-26,141
iojs,2015-02-20,130
iojs,2015-02-10,120
node,2015-02-06,012.0
iojs,2015-02-03,110
node,2015-01-26,010.36
iojs,2015-01-24,104
iojs,2015-01-20,103
iojs,2015-01-16,102
iojs,2015-01-14,101
node,2014-09-24,011.14
node,2014-05-01,011.13
node,2014-03-11,011.12
node,2014-01-29,011.11
node,2013-12-31,011.10
node,2013-11-20,011.9
node,2013-10-30,011.8
node,2013-08-21,011.7
node,2013-08-21,011.6
node,2013-08-06,011.5
node,2013-07-12,011.4
node,2013-06-26,011.3
node,2013-05-13,011.2
node,2013-04-19,011.1
node,2013-03-28,011.0
node,2014-12-22,010.35
node,2014-12-17,010.34
node,2014-10-20,010.33
node,2014-09-16,010.32
node,2014-08-19,010.31
node,2014-07-31,010.30
node,2014-06-05,010.29
node,2014-05-01,010.28
node,2014-05-01,010.27
node,2014-02-18,010.26
node,2014-01-23,010.25
node,2013-12-18,010.24
node,2013-12-12,010.23
node,2013-11-12,010.22
node,2013-10-18,010.21
node,2013-09-30,010.20
node,2013-09-24,010.19
node,2013-09-04,010.18
node,2013-08-21,010.17
node,2013-08-16,010.16
node,2013-07-25,010.15
node,2013-07-25,010.14
node,2013-07-09,010.13
node,2013-06-18,010.12
node,2013-06-13,010.11
node,2013-06-04,010.10
node,2013-05-30,010.9
node,2013-05-24,010.8
node,2013-05-17,010.7
node,2013-05-14,010.6
node,2013-04-23,010.5
node,2013-04-11,010.4
node,2013-04-03,010.3
node,2013-03-28,010.2
node,2013-03-21,010.1
node,2013-03-11,010.0
node,2013-03-06,09.12
node,2013-03-01,09.11
node,2013-02-19,09.10
node,2013-02-07,09.9
node,2013-01-24,09.8
node,2013-01-18,09.7
node,2013-01-11,09.6
node,2012-12-30,09.5
node,2012-12-21,09.4
node,2012-10-24,09.3
node,2012-09-17,09.2
node,2012-08-28,09.1
node,2012-07-20,09.0
node,2013-06-13,08.25
node,2013-06-04,08.24
node,2013-04-09,08.23
node,2013-03-07,08.22
node,2013-02-25,08.21
node,2013-02-15,08.20
node,2013-02-06,08.19
node,2013-01-18,08.18
node,2013-01-09,08.17
node,2012-12-13,08.16
node,2012-11-26,08.15
node,2012-10-25,08.14
node,2012-10-25,08.13
node,2012-10-12,08.12
node,2012-09-27,08.11
node,2012-09-25,08.10
node,2012-09-11,08.9
node,2012-08-22,08.8
node,2012-08-15,08.7
node,2012-08-07,08.6
node,2012-08-02,08.5
node,2012-07-25,08.4
node,2012-07-19,08.3
node,2012-07-09,08.2
node,2012-06-29,08.1
node,2012-06-25,08.0
node,2012-06-19,07.12
node,2012-06-15,07.11
node,2012-06-11,07.10
node,2012-05-28,07.9
node,2012-04-18,07.8
node,2012-03-30,07.7
node,2012-03-13,07.6
node,2012-02-23,07.5
node,2012-02-14,07.4
node,2012-02-07,07.3
node,2012-02-01,07.2
node,2012-01-23,07.1
node,2012-01-16,07.0
node,2012-07-10,06.20
node,2012-06-06,06.19
node,2012-05-15,06.18
node,2012-05-04,06.17
node,2012-04-30,06.16
node,2012-04-09,06.15
node,2012-03-22,06.14
node,2012-03-15,06.13
node,2012-03-02,06.12
node,2012-02-17,06.11
node,2012-02-02,06.10
node,2012-01-27,06.9
node,2012-01-19,06.8
node,2012-01-06,06.7
node,2011-12-14,06.6
node,2011-12-04,06.5
node,2011-12-02,06.4
node,2011-11-25,06.3
node,2011-11-18,06.2
node,2011-11-11,06.1
node,2011-11-04,06.0
